StudNo,Description,Action,DateFiled,DateResolved
2000-25734,Benefits of using the software,approved,27 08 2000,12 12 2003
2022-72656,Benefits of using the software,noted,2 02 2020,8 04 2022
2000-28341,Overview of the event,disapproved,3 05 2022,11 10 2021
2006-57804,Overview of the event,disapproved,25 04 2006,15 08 2022
2013-13685,Detailed description of the product,resolved,14 10 2015,7 10 2019
2013-37280,Overview of the event,disapproved,4 01 2008,21 02 2018
2012-68116,Description of the project goals,disapproved,25 09 2023,4 04 2007
2014-65236,Detailed description of the product,resolved,11 06 2024,28 06 2002
2019-77738,Description of the project goals,approved,16 06 2013,30 10 2019
2009-49924,Overview of the event,approved,25 10 2006,26 07 2020
2018-98102,Benefits of using the software,resolved,24 09 2024,2 12 2019
2016-96266,Overview of the event,disapproved,15 11 2015,7 02 2005
2006-27514,Description of the project goals,resolved,4 01 2023,7 01 2012
2018-35417,Detailed description of the product,resolved,25 03 2008,28 04 2019
2013-25300,Overview of the event,resolved,23 12 2009,25 10 2019
2004-67994,Exciting features of the service,filed,27 10 2023,16 03 2021
2011-16228,Description of the project goals,resolved,18 07 2017,17 07 2003
2015-63399,Overview of the event,noted,13 01 2006,29 08 2002
2004-29855,Overview of the event,disapproved,7 09 2024,25 03 2023
2003-81876,Detailed description of the product,disapproved,27 08 2002,25 07 2000
2009-60035,Detailed description of the product,approved,25 11 2000,17 07 2020
2021-36220,Description of the project goals,resolved,20 02 2012,2 05 2003
2008-70987,Benefits of using the software,approved,30 08 2004,6 03 2013
2003-91061,Benefits of using the software,resolved,28 10 2003,6 09 2004
2014-1670,Benefits of using the software,disapproved,5 08 2021,30 07 2021
2019-65724,Exciting features of the service,resolved,17 06 2005,30 03 2003
2021-30187,Benefits of using the software,disapproved,30 10 2003,28 08 2004
2021-45575,Overview of the event,noted,24 01 2007,24 06 2000
2005-98300,Detailed description of the product,filed,3 04 2013,4 12 2005
2003-31448,Detailed description of the product,noted,12 03 2011,7 05 2014
2011-65957,Exciting features of the service,disapproved,12 08 2022,13 08 2020
2014-17091,Exciting features of the service,disapproved,3 10 2005,4 12 2021
2018-47726,Detailed description of the product,filed,16 07 2014,18 05 2002
2009-45776,Detailed description of the product,filed,20 04 2012,17 12 2018
2022-72406,Detailed description of the product,resolved,13 08 2012,14 03 2000
2021-29202,Benefits of using the software,resolved,28 01 2013,28 05 2019
2013-36915,Overview of the event,disapproved,24 11 2008,13 04 2007
2023-83788,Description of the project goals,filed,25 01 2019,20 06 2015
2007-97014,Exciting features of the service,disapproved,22 04 2022,17 05 2020
2021-71007,Exciting features of the service,noted,3 12 2014,11 05 2017
2010-49824,Overview of the event,resolved,21 01 2022,1 05 2006
2011-86485,Exciting features of the service,noted,30 08 2011,6 03 2001
2005-31733,Benefits of using the software,filed,1 01 2017,12 03 2008
2021-80967,Overview of the event,noted,5 12 2005,6 03 2019
2009-22347,Description of the project goals,disapproved,1 02 2006,14 12 2014
2004-51310,Overview of the event,approved,16 08 2020,26 07 2021
2014-44972,Description of the project goals,disapproved,12 04 2018,11 06 2022
2003-26723,Overview of the event,disapproved,6 01 2023,31 07 2018
2006-82868,Exciting features of the service,approved,16 01 2022,17 05 2014
2000-57614,Overview of the event,resolved,29 09 2001,31 10 2018
2010-38164,Benefits of using the software,noted,26 06 2013,30 06 2002
2019-42930,Description of the project goals,filed,6 08 2007,11 05 2012
2012-4320,Detailed description of the product,noted,17 10 2021,6 04 2006
2022-57575,Overview of the event,filed,13 10 2007,26 04 2001
2018-98248,Description of the project goals,approved,27 03 2002,19 12 2005
2023-62990,Exciting features of the service,approved,1 06 2006,29 09 2009
2002-58216,Description of the project goals,resolved,9 01 2023,20 04 2005
2023-21437,Detailed description of the product,filed,30 07 2023,10 04 2017
2007-87973,Overview of the event,resolved,20 11 2021,19 06 2010
2012-67616,Benefits of using the software,noted,29 04 2020,20 03 2005
2019-69440,Description of the project goals,approved,3 12 2019,26 08 2013
2019-69760,Overview of the event,resolved,22 06 2008,15 06 2020
2009-22842,Exciting features of the service,resolved,23 02 2014,25 10 2005
2001-11578,Description of the project goals,resolved,4 10 2000,31 08 2019
2004-18787,Overview of the event,resolved,29 09 2006,18 05 2018
2003-44387,Description of the project goals,disapproved,2 07 2000,5 01 2005
2013-88347,Exciting features of the service,approved,3 09 2002,25 09 2020
2008-66908,Exciting features of the service,filed,16 07 2024,4 09 2021
2004-76465,Exciting features of the service,noted,7 08 2020,1 09 2004
2000-69964,Detailed description of the product,resolved,14 07 2003,26 10 2002
2007-80754,Overview of the event,disapproved,26 10 2005,6 12 2004
2018-77556,Description of the project goals,filed,2 09 2013,12 05 2021
2018-66730,Benefits of using the software,disapproved,21 09 2019,10 11 2019
2020-57553,Detailed description of the product,noted,13 04 2012,5 09 2011
2006-74701,Overview of the event,noted,15 01 2012,29 10 2002
2001-26101,Exciting features of the service,resolved,20 04 2013,3 05 2015
2009-75900,Detailed description of the product,noted,3 08 2018,15 01 2018
2024-43962,Benefits of using the software,resolved,24 08 2010,28 06 2005
2017-14225,Detailed description of the product,approved,30 01 2006,30 12 2023
2016-72255,Detailed description of the product,resolved,15 04 2010,2 09 2008
2005-59761,Benefits of using the software,noted,30 10 2021,16 01 2013
2020-59664,Benefits of using the software,filed,30 05 2006,26 09 2008
2011-86900,Exciting features of the service,noted,22 06 2009,15 09 2020
2006-94343,Benefits of using the software,noted,29 11 2023,18 05 2005
2024-84375,Description of the project goals,noted,26 04 2007,29 12 2006
2006-16352,Overview of the event,filed,29 11 2008,7 02 2022
2000-33183,Overview of the event,noted,17 09 2011,10 05 2010
2002-37902,Detailed description of the product,disapproved,2 12 2002,5 08 2000
2008-51197,Overview of the event,resolved,22 09 2005,29 09 2013
2021-99081,Overview of the event,disapproved,22 04 2004,5 05 2009
2012-50257,Overview of the event,resolved,29 06 2014,29 12 2005
2007-61202,Overview of the event,resolved,19 03 2018,31 07 2016
2019-18933,Detailed description of the product,disapproved,17 01 2012,10 09 2014
2007-34807,Overview of the event,disapproved,11 09 2008,4 05 2024
2009-55859,Detailed description of the product,filed,20 01 2013,7 07 2016
2006-46747,Overview of the event,disapproved,6 06 2014,9 03 2004
2004-49907,Description of the project goals,approved,1 05 2006,2 03 2002
2010-10073,Overview of the event,approved,7 09 2009,11 12 2017
2003-76386,Overview of the event,filed,23 08 2013,15 11 2018
2018-85678,Description of the project goals,filed,12 11 2021,9 09 2001
2014-43272,Detailed description of the product,approved,9 01 2002,8 07 2007
2008-18099,Overview of the event,approved,14 08 2000,9 09 2007
2020-70810,Overview of the event,filed,25 01 2000,16 12 2014
2022-56353,Exciting features of the service,resolved,15 01 2004,24 06 2016
2002-26405,Benefits of using the software,resolved,24 05 2002,7 07 2016
2014-28718,Exciting features of the service,filed,1 02 2006,26 09 2014
2010-11511,Detailed description of the product,disapproved,3 07 2005,19 05 2009
2021-42000,Benefits of using the software,filed,3 06 2017,15 11 2003
2004-59411,Detailed description of the product,filed,1 03 2018,6 02 2023
2015-84996,Description of the project goals,noted,5 08 2012,29 05 2023
2008-68100,Benefits of using the software,resolved,28 06 2018,8 03 2022
2012-59228,Benefits of using the software,resolved,31 01 2021,4 09 2009
2016-50520,Benefits of using the software,disapproved,8 12 2008,13 10 2013
2009-64143,Detailed description of the product,filed,10 05 2011,24 05 2015
2014-14334,Description of the project goals,disapproved,24 01 2003,29 04 2017
2019-34849,Exciting features of the service,noted,24 03 2004,1 05 2014
2015-14793,Overview of the event,approved,15 07 2008,7 01 2014
2017-72612,Benefits of using the software,resolved,26 01 2017,28 04 2024
2000-74103,Overview of the event,filed,16 12 2007,8 10 2003
2009-38411,Benefits of using the software,approved,23 02 2022,1 05 2002
2014-72001,Description of the project goals,resolved,8 04 2021,10 04 2002
2014-88195,Description of the project goals,filed,30 01 2002,12 07 2007
2013-58047,Benefits of using the software,filed,26 03 2006,19 05 2011
2015-82001,Detailed description of the product,approved,12 04 2015,1 09 2005
2002-83851,Overview of the event,disapproved,2 02 2014,21 03 2005
2002-11094,Overview of the event,resolved,14 05 2009,27 10 2016
2002-17537,Benefits of using the software,noted,27 01 2000,8 10 2002
2011-68473,Benefits of using the software,approved,21 02 2019,5 07 2011
2020-49070,Exciting features of the service,disapproved,19 01 2014,9 05 2007
2018-38229,Benefits of using the software,noted,2 02 2013,17 05 2018
2004-66536,Description of the project goals,resolved,8 02 2008,11 06 2012
2001-59661,Detailed description of the product,approved,17 03 2013,6 05 2009
2004-77636,Detailed description of the product,filed,13 03 2019,27 02 2013
2012-13906,Exciting features of the service,resolved,28 05 2022,19 10 2011
2008-63709,Description of the project goals,filed,22 10 2016,28 12 2004
2024-10152,Description of the project goals,noted,8 07 2002,28 05 2003
2022-75021,Benefits of using the software,resolved,9 07 2018,6 02 2019
2014-55522,Exciting features of the service,approved,17 08 2022,21 08 2021
2023-18573,Benefits of using the software,filed,27 10 2002,7 12 2019
2010-26581,Detailed description of the product,disapproved,26 10 2011,5 09 2002
2024-87934,Overview of the event,disapproved,23 02 2021,4 04 2017
2018-54298,Overview of the event,noted,4 01 2009,22 04 2009
2019-48032,Exciting features of the service,noted,28 04 2014,7 12 2021
2017-99740,Benefits of using the software,resolved,1 08 2005,26 02 2012
2000-46300,Exciting features of the service,disapproved,17 10 2022,16 11 2008
2013-66747,Description of the project goals,filed,16 01 2013,4 05 2003
2017-88275,Exciting features of the service,approved,1 08 2009,21 04 2019
2008-25895,Overview of the event,disapproved,14 10 2017,4 05 2014
2017-41343,Overview of the event,approved,9 03 2022,14 02 2004
2014-27395,Benefits of using the software,resolved,28 03 2022,29 04 2003
2016-92385,Detailed description of the product,disapproved,24 04 2011,19 09 2020
2020-40308,Exciting features of the service,disapproved,15 05 2010,5 04 2003
2007-56616,Benefits of using the software,noted,23 07 2022,10 08 2017
2023-68588,Detailed description of the product,resolved,2 06 2016,20 08 2017
2016-37069,Overview of the event,noted,7 11 2009,15 02 2015
2008-23647,Benefits of using the software,approved,25 11 2012,1 03 2024
